JUDUL BUKU;PENULIS/PENGARANG;PENERBIT;TANGGAL/BULAN/TAHUN PEROLEHAN;BARANG;HARGA SATUAN;HARGA TOTAL 
Karakter Diri di Balik Juz Al Qur'an;H. Ziyad Ul-Haq At-Tubany;Rahma Media Pustaka;3 JANUARI 2021;1; 40.000 ;40.000
Selayang Pandang Gunung Lawu (Wisata dan Mitos);Suryo Domas Sri PB.;Mediatama;3 JANUARI 2021;2; 33.500 ;67.000
"Petunjuk Mendapatkan Lailatul Qodar ""disertai dengan Hadits Shahih""";Dr. Faruq Hamadah;Rahma Media Pustaka;3 JANUARI 2021;1; 30.000 ;30.000
Ziarah Makam Walisongo;Hardjana HP;Mediatama;3 JANUARI 2021;1; 38.000 ;38.000
Kesehatan di Sekolah;Pung Pribadi;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Sumber Air Panas Sari Ater;Choirul Anwar;Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Indonesiaku 5 Provinsi Jawa Timur;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
PiLkades Sukses pembangunan Beres;Agus Wijatmoko;Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Keaajaiban Dunia Baru 6;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Keajaiban Dunia Moder Jilid 5;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Indonesiaku 9 Provinsi NTT;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Pertolongan Pertama pada Penyakit 2;Nabila;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Orang-Orang Belanda di Pintu Darurat;M. Unggul Wibowo;Mediatama;3 JANUARI 2021;1; 34.500 ;34.500
Jelajah Museum Jawa Timur dan Bali;Vivied D. Utami;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Sejarah Nenek Moyang Jawa;Radhita Subalidinata dan Bisri M. Djaelani;Suara Media Sejahtera;3 JANUARI 2021;1; 37.500 ;37.500
Efek Rumah Kaca;Siti Mukaromah;Mediatama;3 JANUARI 2021;1; 38.000 ;38.000
Indonesiaku 33 Provinsi Papua;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;2; 38.000 ;76.000
Adab mulia terhadab guru;Nuha Rifqia;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Mengenal Pahlawan;Devi Andriana;Mitra Aksara Panaitan;3 JANUARI 2021;1; 38.700 ;38.700
Gaptek, No Way 2 (Microsoft Word) ;ES. Ningrum;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Memajukan Daerah Tertinggal;Hardjana HP.;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Terbang ke Angkasa Bersama Observatorium Bosscha;Keen Achroni;Mediatama;3 JANUARI 2021;1; 30.000 ;30.000
Indahnya Budaya Tertib lalu lintas;Rohmat Yuliato;Karya Mandiri Nusantara;3 JANUARI 2021;1; 36.000 ;36.000
"Indonesia Masa Lalu "" Dari Zaman Prasejarah hingga Zaman Reformasi";Muh. Nur El-Ibrahim;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Membuat Batako;Sugeng Suprapto;Suara Media Sejahtera;3 JANUARI 2021;1; 37.500 ;37.500
Sejarah Eropa;Drs. Herimanto, M.Si;Mediatama;3 JANUARI 2021;1; 40.000 ;40.000
Energi;Ichwan Budi U, Edi Sutrisno;Suara Media Sejahtera;3 JANUARI 2021;1; 37.500 ;37.500
Ayo Berlatih Menulis Surat;Titiek Maryuni;Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Anugerah Gunung Merapi;Wiwik Sulistyorini;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Aneka Cabang Olah Raga;Aminudin;Mutiara Ilmu Bandung;3 JANUARI 2021;1; 34.500 ;34.500
Mengenali dan Mengobati Penyakit;Djelita Aulia Hapsari;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
